Date,Open,High,Low,Close,Volume
2020-01-02,61.46,62.72,61.40,62.37,1232319
2020-01-03,61.96,62.04,60.78,61.62,1153245
2020-01-06,61.20,61.39,60.54,61.39,1039192
2020-01-07,61.85,62.46,61.63,62.37,1302124
2020-01-08,62.14,62.61,61.98,62.53,941807
2020-01-09,63.11,63.32,62.49,62.49,1391131
2020-01-10,62.60,62.99,62.37,62.67,1102138
2020-01-13,62.78,62.87,61.67,61.88,884147
2020-01-14,61.97,62.04,61.40,61.60,979352
2020-01-15,61.42,61.57,60.32,60.67,1607651
2020-01-16,60.67,60.89,59.30,59.81,1730300
2020-01-17,60.25,60.46,59.59,59.72,2112839
2020-01-20,59.60,60.39,59.51,60.20,837922
2020-01-21,59.99,60.51,59.61,60.01,888947
2020-01-22,60.13,61.03,58.42,59.62,1755064
2020-01-23,59.29,59.58,58.36,58.57,1472242
2020-01-24,58.91,59.09,58.30,58.33,1281775
2020-01-27,57.57,57.82,56.78,56.89,1828640
2020-01-28,56.80,56.92,55.74,56.15,2112085
2020-01-29,56.15,56.51,55.65,55.93,1456090
2020-01-30,55.46,55.80,54.84,55.09,1995833
2020-01-31,55.13,55.20,53.96,54.07,2069682
2020-02-03,54.07,54.41,53.70,54.10,1818370
2020-02-04,54.23,54.80,53.75,54.58,1938049
2020-02-05,54.71,55.94,54.28,55.65,2017296
2020-02-06,56.10,56.54,55.56,55.74,1618304
2020-02-07,55.38,55.38,53.94,54.36,2438775
2020-02-10,54.23,54.56,53.43,53.62,1969048
2020-02-11,54.02,54.85,53.77,54.13,2075594
2020-02-12,54.46,56.36,54.36,56.36,2590748
2020-02-13,56.05,56.08,55.43,55.96,1643472
2020-02-14,55.88,56.44,55.28,55.35,1456966
2020-02-17,55.79,56.43,55.72,55.89,1298707
2020-02-18,55.34,55.61,54.79,54.79,1359236
2020-02-19,55.19,55.44,54.21,55.00,1326708
2020-02-20,55.04,55.83,54.64,54.88,1793835
2020-02-21,54.67,55.04,53.85,54.21,2005662
2020-02-24,52.94,53.03,50.93,51.63,3729450
2020-02-25,52.09,52.37,50.92,51.29,2409281
2020-02-26,51.06,52.30,50.36,51.92,3322283
2020-02-27,50.82,51.18,49.63,50.29,3225348
2020-02-28,48.52,49.52,48.04,49.52,5834942
2020-03-02,49.92,50.09,47.89,48.74,3315364
2020-03-03,49.16,49.83,48.24,48.54,4135929
2020-03-04,48.71,49.62,48.29,49.22,2320426
2020-03-05,49.43,49.51,48.32,48.80,2447364
2020-03-06,47.67,48.56,47.12,48.09,3189387
2020-03-09,45.38,45.68,42.86,42.88,5395201
2020-03-10,43.29,45.51,42.08,42.30,4299614
2020-03-11,43.01,44.58,42.24,42.56,3245931
2020-03-12,39.80,40.59,36.39,37.04,6712618
2020-03-13,38.58,41.42,37.03,38.17,6324387
2020-03-16,35.65,36.18,33.05,33.69,6612181
2020-03-17,34.96,35.40,31.84,33.91,3975016
2020-03-18,32.75,33.21,30.93,32.89,4654563
2020-03-19,32.72,33.68,30.75,31.65,4697097
2020-03-20,32.88,34.98,32.77,34.77,6491031
2020-03-23,33.15,34.49,32.35,33.45,4318784
2020-03-24,35.30,38.29,34.90,38.29,4628692
2020-03-25,39.89,40.99,37.36,39.29,3669902
2020-03-26,38.24,39.90,37.91,39.75,2612333
2020-03-27,38.81,39.06,37.92,38.25,2554659
2020-03-30,38.53,38.88,36.92,38.43,2283311
2020-03-31,38.82,40.17,38.37,39.59,2546075
2020-04-01,38.24,38.26,37.05,37.30,2362849
2020-04-02,37.97,39.37,36.65,37.70,2633606
2020-04-03,37.40,38.24,37.00,37.61,4331430
2020-04-06,39.92,40.98,39.11,40.81,2883526
2020-04-07,42.48,43.63,40.89,41.78,2625937
2020-04-08,41.64,42.12,40.90,41.31,2262731
2020-04-09,42.14,43.35,41.38,42.71,2485969
2020-04-14,43.45,43.93,42.85,43.16,1909198
2020-04-15,43.28,43.28,40.83,40.83,2469060
2020-04-16,41.42,42.32,40.76,41.46,2335152
2020-04-17,43.11,44.56,43.02,43.62,3906817
2020-04-20,44.05,44.33,42.03,43.17,2159543
2020-04-21,42.36,42.42,40.81,40.81,1857083
2020-04-22,41.10,41.42,40.74,41.19,1533538
2020-04-23,41.45,42.63,40.90,42.25,1688589
2020-04-24,41.51,41.99,40.77,40.89,1669671
2020-04-27,42.06,43.03,41.48,43.03,1828072
2020-04-28,43.05,44.74,42.93,44.21,2126371
2020-04-29,44.46,47.20,44.20,46.78,2842964
2020-04-30,47.47,48.12,45.17,45.42,2625725
2020-05-04,43.95,44.14,42.87,43.34,2623809
2020-05-05,44.25,45.41,44.04,44.97,1947394
2020-05-06,44.07,44.12,42.04,42.54,3079088
2020-05-07,42.75,42.95,41.22,41.48,2708186
2020-05-08,41.77,43.21,41.67,43.21,2197345
2020-05-11,43.72,44.14,42.88,43.17,2401288
2020-05-12,42.90,43.32,42.64,42.74,1539118
2020-05-13,42.02,42.57,40.78,40.95,2671455
2020-05-14,40.25,40.53,38.46,39.56,4025076
2020-05-15,40.20,41.73,40.20,41.40,3502835
2020-05-18,42.27,44.67,42.20,44.60,2765408
2020-05-19,45.44,45.54,43.53,44.42,2315191
2020-05-20,44.37,45.28,43.37,45.13,1641527
2020-05-21,44.73,45.36,44.11,44.44,1347915
2020-05-22,43.71,45.15,43.25,44.45,1369506
2020-05-25,45.05,45.08,43.56,44.63,1796645
2020-05-26,45.03,46.03,44.46,46.03,2720565
2020-05-27,46.15,49.53,45.95,48.27,4266200
2020-05-28,49.03,49.14,47.23,47.92,2340231
2020-05-29,46.81,47.48,46.40,46.68,3477078
2020-06-02,48.47,49.74,48.13,49.12,2911717
2020-06-03,49.82,51.65,49.54,51.46,2928586
2020-06-04,50.76,51.85,49.90,51.54,2655148
2020-06-05,52.23,53.54,52.08,52.81,4307916
2020-06-08,52.57,54.86,52.50,53.85,2789528
2020-06-09,54.09,54.61,51.47,52.73,2856264
2020-06-10,53.22,53.73,51.71,52.26,2191842
2020-06-11,50.77,50.93,49.29,49.36,3214148
2020-06-12,48.82,51.19,48.55,49.83,2348746
2020-06-15,48.02,49.88,47.79,49.66,1887970
2020-06-16,51.35,51.54,49.70,50.65,2628679
2020-06-17,50.59,51.44,50.14,50.82,1759639
2020-06-18,50.83,51.65,50.12,50.68,2039514
2020-06-19,51.00,51.46,50.19,50.53,3912795
2020-06-22,49.89,51.62,49.75,50.91,1442690
2020-06-23,51.44,52.89,51.05,51.84,2185453
2020-06-24,51.72,52.30,49.86,49.86,1797898
2020-06-25,49.54,50.95,49.11,50.66,1722272
2020-06-26,51.31,51.35,49.25,49.50,1953166
2020-06-29,49.29,50.45,49.11,50.33,1859116
2020-06-30,50.41,50.69,49.45,50.43,2049620
2020-07-01,49.71,50.64,49.38,49.88,1618381
2020-07-02,50.53,52.26,50.27,51.43,2018441
2020-07-03,51.66,51.96,50.60,50.82,903202
2020-07-06,52.32,52.97,51.24,51.88,1512797
2020-07-07,51.75,52.61,51.26,52.05,1505768
2020-07-08,51.71,52.53,51.35,51.49,1362427
2020-07-09,52.02,52.35,50.84,50.98,1231470
2020-07-10,50.81,52.10,50.43,52.09,1532862
2020-07-13,52.89,53.19,51.75,52.18,1073725
2020-07-14,51.40,51.93,50.89,51.41,1371809
2020-07-15,51.77,52.46,51.52,52.02,1465863
2020-07-16,51.63,52.44,51.60,52.16,999456
2020-07-17,53.21,53.86,52.81,53.01,1858811
2020-07-20,52.89,52.97,52.02,52.45,1314311
2020-07-21,53.25,54.78,53.07,53.98,2151595
2020-07-22,53.88,54.20,52.88,53.20,1255270
2020-07-23,53.96,55.38,53.87,54.27,2012658
2020-07-24,53.78,54.00,53.17,53.45,1595443
2020-07-27,53.34,53.77,52.97,53.03,931048
2020-07-28,53.22,53.72,52.78,53.07,1163934
2020-07-29,53.13,53.26,51.31,51.73,1780245
2020-07-30,51.47,51.64,49.30,49.84,2283364
2020-07-31,49.81,50.08,48.53,48.55,1926062
2020-08-03,48.55,50.24,48.30,49.89,1812786
2020-08-04,50.67,51.60,50.55,51.60,1873398
2020-08-05,50.14,50.53,49.10,49.82,3067112
2020-08-06,49.68,49.90,48.59,49.02,2453738
2020-08-07,48.95,49.17,48.19,48.72,1984567
2020-08-10,49.17,49.25,48.13,49.12,1367342
2020-08-11,49.97,52.30,49.89,51.95,3142904
2020-08-12,51.87,53.01,51.76,52.25,1663294
2020-08-13,51.80,52.54,51.62,51.72,1025918
2020-08-14,51.63,51.79,50.73,51.67,1131446
2020-08-17,51.70,52.08,51.18,51.37,829378
2020-08-18,51.09,51.72,50.71,51.08,1148139
2020-08-19,51.05,51.70,50.79,51.70,1224278
2020-08-20,50.99,51.31,50.58,50.93,1021586
2020-08-21,51.31,51.46,49.79,50.42,1395089
