Date,Open,High,Low,Close,Volume
2020-01-02,64.76,65.65,64.66,65.51,1992518
2020-01-03,65.19,65.19,64.20,64.68,2514997
2020-01-06,64.35,64.36,62.69,63.93,2317291
2020-01-07,64.16,64.89,63.88,64.27,1771542
2020-01-08,64.09,66.19,63.71,65.94,2941368
2020-01-09,66.81,67.21,66.50,66.58,2726823
2020-01-10,66.81,67.71,66.58,67.15,2632057
2020-01-13,67.29,67.45,66.32,66.59,1998984
2020-01-14,66.69,66.89,66.19,66.42,1867783
2020-01-15,66.49,67.39,66.35,67.12,1886380
2020-01-16,67.32,67.61,66.51,66.62,1702421
2020-01-17,67.72,67.82,66.87,67.06,3059657
2020-01-20,67.20,67.35,66.81,67.28,1227659
2020-01-21,67.10,67.55,66.94,67.50,1730267
2020-01-22,67.62,67.71,66.46,66.55,2196629
2020-01-23,66.44,66.60,65.91,66.03,1880088
2020-01-24,67.28,68.61,66.87,67.06,4160963
2020-01-27,66.37,66.38,65.35,65.55,3399409
2020-01-28,66.60,67.47,65.66,67.41,2684513
2020-01-29,67.32,67.48,66.45,66.74,1796616
2020-01-30,65.85,66.42,65.22,65.46,2743790
2020-01-31,65.83,66.59,65.09,65.09,3760897
2020-02-03,65.48,66.08,65.15,65.34,2285251
2020-02-04,65.90,67.48,65.87,67.19,2966007
2020-02-05,66.97,68.86,66.75,68.86,3220661
2020-02-06,69.06,69.81,68.92,69.76,2446008
2020-02-07,69.78,69.78,68.93,69.18,2001080
2020-02-10,69.34,69.43,68.54,68.72,1805283
2020-02-11,68.96,69.26,68.77,68.79,1970242
2020-02-12,69.03,69.23,68.59,69.20,1665464
2020-02-13,68.88,69.23,68.16,68.88,2237053
2020-02-14,68.85,69.61,68.25,68.94,1591976
2020-02-17,66.92,67.76,66.57,67.65,2438589
2020-02-18,67.16,67.76,66.90,67.02,1901779
2020-02-19,67.19,67.74,67.06,67.26,1648665
2020-02-20,67.10,67.34,66.53,66.53,1800190
2020-02-21,66.21,66.51,65.75,66.02,3061897
2020-02-24,65.02,65.17,62.74,62.82,5617236
2020-02-25,63.26,63.29,61.85,62.19,3872762
2020-02-26,61.49,62.45,60.29,62.29,6934751
2020-02-27,60.68,61.40,58.80,59.62,6457786
2020-02-28,56.58,58.11,56.28,58.11,12903573
2020-03-02,58.88,59.32,56.17,58.03,6555565
2020-03-03,58.69,59.98,56.85,57.21,6142183
2020-03-04,57.92,59.86,57.65,59.69,5616580
2020-03-05,60.10,60.12,58.46,59.11,3656343
2020-03-06,57.81,58.46,56.58,56.83,5256308
2020-03-09,52.57,53.95,51.22,52.06,10331749
2020-03-10,52.67,53.00,50.10,50.29,8668542
2020-03-11,51.22,52.35,49.81,49.96,5988000
2020-03-12,46.87,47.63,42.96,42.96,11749482
2020-03-13,44.55,46.01,41.52,42.82,10499910
2020-03-16,40.99,43.81,39.97,42.88,11782270
2020-03-17,44.64,45.32,41.73,45.06,6985039
2020-03-18,43.26,44.93,42.63,42.86,8440189
2020-03-19,42.95,45.03,41.67,44.39,8126160
2020-03-20,46.15,47.41,44.15,44.64,11885251
2020-03-23,42.86,44.26,41.51,42.33,7078659
2020-03-24,44.55,46.03,43.52,46.03,7920997
2020-03-25,47.16,47.39,43.74,46.06,6983305
2020-03-26,44.79,46.11,43.98,46.11,4746637
2020-03-27,45.48,46.25,44.65,45.15,4787766
2020-03-30,45.73,46.94,44.44,46.94,4275809
2020-03-31,48.35,49.39,46.48,47.09,5985815
2020-04-01,45.89,47.22,45.62,46.64,4118913
2020-04-02,47.23,47.75,45.67,47.09,3364171
2020-04-03,47.16,47.85,47.02,47.25,2806018
2020-04-06,49.01,50.61,48.70,49.71,5012935
2020-04-07,51.92,52.87,50.62,51.05,4430063
2020-04-08,50.48,50.74,49.63,50.23,2634788
2020-04-09,51.05,51.52,49.99,51.21,4128261
2020-04-14,52.04,52.96,51.76,52.48,3399748
2020-04-15,52.67,52.84,50.27,50.49,3825248
2020-04-16,51.33,51.53,50.59,50.85,3075417
2020-04-17,52.35,53.40,51.69,52.19,4639461
2020-04-20,52.81,52.89,51.12,52.22,2715469
2020-04-21,51.86,52.49,51.37,51.72,3996156
2020-04-22,52.18,53.17,51.75,53.11,2726947
2020-04-23,53.47,54.06,52.57,53.37,2543468
2020-04-24,52.75,53.84,52.33,53.06,3063814
2020-04-27,54.80,56.14,54.23,56.14,4461334
2020-04-28,56.25,57.30,55.92,56.16,4846210
2020-04-29,57.07,57.15,55.83,57.12,5130729
2020-04-30,57.59,58.43,56.04,56.08,5519994
2020-05-04,54.46,55.13,53.95,54.04,5162829
2020-05-05,54.79,55.35,54.43,55.31,3256831
2020-05-06,55.22,55.57,54.41,54.51,2351880
2020-05-07,54.70,55.15,53.79,54.01,2774423
2020-05-08,54.55,54.65,53.72,54.08,2093326
2020-05-11,54.27,54.61,53.16,53.82,2620078
2020-05-12,53.73,54.74,53.73,54.48,2112790
2020-05-13,53.70,54.35,53.30,53.55,2824772
2020-05-14,53.03,53.20,51.63,52.00,4114886
2020-05-15,52.49,53.86,52.48,52.92,3496838
2020-05-18,53.91,56.56,53.91,56.29,3542045
2020-05-19,56.87,56.92,55.99,56.32,3464067
2020-05-20,56.28,56.88,55.35,55.49,3419417
2020-05-21,55.07,55.08,53.87,54.09,3004723
2020-05-22,53.29,54.23,53.25,53.76,2186220
2020-05-25,55.98,58.52,55.63,57.94,5271776
2020-05-26,58.66,58.66,56.64,57.23,3269187
2020-05-27,57.26,57.86,56.99,57.82,3979631
2020-05-28,58.38,58.79,57.93,58.71,3275258
2020-05-29,58.12,58.52,56.62,56.62,5283029
2020-06-02,58.60,59.89,58.46,59.63,4277764
2020-06-03,60.41,61.20,59.63,60.91,4655621
2020-06-04,59.45,60.07,58.43,58.47,6647216
2020-06-05,59.36,61.81,59.08,61.69,5710098
2020-06-08,61.45,64.05,61.16,63.92,5081885
2020-06-09,63.88,64.36,61.36,62.72,5119786
2020-06-10,63.07,63.21,62.31,62.62,2456552
