Date,Open,High,Low,Close,Volume
2020-01-02,16.26,16.77,16.25,16.68,3644014
2020-01-03,16.30,16.33,15.31,15.59,16227652
2020-01-06,15.43,15.45,15.08,15.34,6641199
2020-01-07,15.49,15.64,15.37,15.37,4169914
2020-01-08,15.16,15.56,15.00,15.54,6750636
2020-01-09,15.70,16.20,15.53,16.16,8826601
2020-01-10,16.32,16.46,15.81,15.81,5594260
2020-01-13,15.80,15.85,15.44,15.50,6483774
2020-01-14,15.54,15.55,15.32,15.33,4878103
2020-01-15,15.37,15.43,15.25,15.32,3679600
2020-01-16,15.38,15.40,15.18,15.32,3981887
2020-01-17,15.37,15.45,15.21,15.25,4009140
2020-01-20,15.24,15.24,14.89,14.95,6019287
2020-01-21,14.79,14.83,14.39,14.44,8886013
2020-01-22,14.51,14.56,14.28,14.47,4946887
2020-01-23,14.95,14.95,14.30,14.40,9087280
2020-01-24,14.57,14.70,14.38,14.43,5379941
2020-01-27,14.10,14.10,13.54,13.80,12372095
2020-01-28,13.82,14.12,13.45,14.00,10457161
2020-01-29,14.22,14.29,14.07,14.17,7798259
2020-01-30,13.96,14.11,13.78,14.03,7294274
2020-01-31,14.09,14.18,13.80,13.83,6119463
2020-02-03,13.84,14.09,13.76,14.06,5808671
2020-02-04,14.10,14.57,14.01,14.52,6924639
2020-02-05,14.55,15.46,14.47,15.04,12671893
2020-02-06,15.15,15.25,14.98,15.00,4975426
2020-02-07,14.88,14.91,14.47,14.69,6528384
2020-02-10,14.63,14.69,14.47,14.49,4280303
2020-02-11,14.62,15.05,14.60,15.05,5339126
2020-02-12,15.09,15.46,15.02,15.37,6575110
2020-02-13,15.20,15.25,14.99,15.21,5600865
2020-02-14,15.25,15.43,15.19,15.21,3379814
2020-02-17,15.34,15.40,15.25,15.30,3347057
2020-02-18,15.13,15.29,15.08,15.29,3004989
2020-02-19,15.36,15.44,15.30,15.40,4212416
2020-02-20,15.28,15.34,14.82,15.02,9228166
2020-02-21,14.88,14.96,14.72,14.81,5430244
2020-02-24,13.95,14.00,13.47,13.51,19306507
2020-02-25,13.80,13.80,13.12,13.30,11633316
2020-02-26,13.13,13.34,12.74,13.06,14413852
