Date,Open,High,Low,Close,Volume
2020-01-02,158.55,162.94,158.32,162.48,55350
2020-01-03,161.06,161.43,158.41,159.87,78171
2020-01-06,158.82,160.47,157.22,160.47,57829
2020-01-07,160.65,162.16,160.33,160.33,66768
2020-01-08,159.78,160.84,158.78,160.65,82479
2020-01-09,162.57,165.09,161.52,163.90,103849
2020-01-10,163.90,168.11,163.67,167.56,90645
2020-01-13,167.88,168.06,166.23,166.37,64304
2020-01-14,166.51,167.38,165.09,166.74,79706
2020-01-15,166.83,167.06,163.81,165.37,127990
2020-01-16,165.23,166.01,162.39,163.35,96208
2020-01-17,164.63,166.33,164.08,164.45,87424
2020-01-20,164.63,166.88,163.40,166.28,72445
2020-01-21,164.72,167.74,164.04,165.87,78622
2020-01-22,166.65,168.20,163.58,163.81,98512
2020-01-23,163.17,164.18,161.52,161.52,63033
2020-01-24,162.89,163.95,160.56,160.56,71820
2020-01-27,159.14,159.14,155.57,156.40,108768
2020-01-28,157.36,157.50,155.62,156.85,65150
2020-01-29,157.17,158.46,155.89,156.35,78846
2020-01-30,155.57,156.21,151.96,152.42,129653
2020-01-31,152.55,153.01,150.63,151.55,101240
2020-02-03,151.46,151.91,149.90,150.68,79383
2020-02-04,151.73,155.02,150.81,155.02,86080
2020-02-05,155.07,158.87,153.83,157.59,92009
2020-02-06,158.87,160.15,157.54,157.86,71766
2020-02-07,157.27,157.27,153.79,155.25,75304
2020-02-10,155.25,155.85,151.73,152.64,108208
2020-02-11,153.79,156.08,153.38,154.84,62474
2020-02-12,155.39,160.24,155.39,160.15,91134
2020-02-13,159.14,159.37,157.36,158.96,51958
2020-02-14,159.05,160.33,156.76,156.76,56585
2020-02-17,159.01,160.61,158.87,159.19,81334
2020-02-18,157.40,158.82,155.48,156.17,60774
2020-02-19,157.13,158.09,155.76,157.17,57174
2020-02-20,157.13,159.10,155.85,155.99,79514
2020-02-21,155.57,156.72,152.92,153.88,61664
2020-02-24,149.17,149.30,144.55,144.87,141027
2020-02-25,146.88,147.20,142.81,143.22,113314
2020-02-26,141.80,145.00,139.79,144.00,164873
2020-02-27,140.89,141.85,136.63,138.23,195424
2020-02-28,135.44,140.98,131.41,139.38,354999
2020-03-02,144.13,144.41,138.37,139.74,201922
2020-03-03,142.53,144.91,140.75,141.43,140443
2020-03-04,141.98,144.41,141.25,143.31,120260
2020-03-05,144.18,144.18,138.46,139.56,74109
2020-03-06,135.26,137.59,133.79,136.49,92239
2020-03-09,128.16,129.40,123.18,123.18,281584
2020-03-10,125.37,131.96,123.73,124.55,273207
2020-03-11,125.47,129.13,123.64,124.55,146294
2020-03-12,117.69,118.65,104.60,105.01,278378
2020-03-13,110.27,116.59,105.29,106.25,274644
2020-03-16,100.16,100.30,93.80,99.02,340978
2020-03-17,103.09,103.91,93.44,101.49,236955
2020-03-18,98.38,98.83,92.06,92.89,328231
2020-03-19,92.52,127.16,92.47,96.82,419225
2020-03-20,103.78,104.33,93.98,95.13,324091
2020-03-23,92.47,99.75,90.74,94.90,200226
2020-03-24,100.16,106.75,96.50,106.75,216641
2020-03-25,112.42,118.01,105.74,112.93,217731
2020-03-26,110.91,116.22,108.49,116.22,103458
2020-03-27,114.39,114.39,106.38,109.45,113475
2020-03-30,109.36,109.77,104.33,108.63,112872
2020-03-31,110.41,112.24,107.44,111.10,136722
2020-04-01,107.07,109.45,104.69,104.69,142211
2020-04-02,106.80,108.54,103.59,106.34,81356
2020-04-03,105.79,107.62,103.78,105.88,75902
2020-04-06,110.18,114.12,107.53,113.66,162794
2020-04-07,119.33,120.34,114.58,117.50,195581
2020-04-08,116.77,118.51,114.03,117.41,113140
2020-04-09,118.97,123.91,118.78,121.71,108874
2020-04-14,126.65,128.21,122.35,122.81,105673
2020-04-15,123.18,124.64,118.05,118.05,110186
2020-04-16,120.34,122.99,118.51,120.43,108644
2020-04-17,123.54,124.73,121.26,123.09,111764
2020-04-20,124.46,126.11,122.45,125.83,124269
2020-04-21,122.90,122.99,117.50,117.50,90343
2020-04-22,118.97,119.15,117.23,117.78,46835
2020-04-23,118.88,121.16,117.50,120.16,43386
2020-04-24,118.05,119.88,116.41,117.14,34516
2020-04-27,121.53,121.99,119.70,121.62,52547
2020-04-28,121.53,127.20,121.16,125.65,73248
2020-04-29,125.83,135.07,125.47,133.88,106958
2020-04-30,134.80,136.26,124.55,124.73,146079
2020-05-04,122.45,122.99,117.32,117.32,131797
2020-05-05,119.06,124.37,119.06,124.00,64202
2020-05-06,124.46,125.01,121.99,123.27,80041
2020-05-07,123.64,125.74,122.08,123.82,81041
2020-05-08,124.73,127.20,123.09,127.20,63776
2020-05-11,128.12,128.58,124.55,126.65,53447
2020-05-12,125.37,126.84,124.73,125.83,51401
2020-05-13,124.00,124.37,119.06,119.43,89183
2020-05-14,117.50,119.33,113.39,117.14,87195
2020-05-15,118.24,121.26,117.23,119.33,61537
2020-05-18,122.08,127.20,122.08,126.47,75283
2020-05-19,127.20,128.67,124.18,126.65,92146
2020-05-20,126.20,129.49,124.00,129.13,68318
2020-05-21,128.21,129.77,126.47,127.84,27451
2020-05-22,125.10,130.22,124.37,128.03,48750
2020-05-25,129.77,130.22,126.47,128.21,34622
2020-05-26,128.94,133.98,128.30,132.69,74702
2020-05-27,133.24,141.57,132.88,139.38,135602
2020-05-28,141.11,141.75,134.43,136.08,77757
2020-05-29,133.70,133.88,129.77,130.32,119887
2020-06-02,134.25,137.09,133.61,134.98,110135
2020-06-03,136.36,139.28,135.17,139.10,88098
2020-06-04,136.36,140.02,135.07,139.28,86439
2020-06-05,140.66,144.68,140.66,143.40,89695
2020-06-08,142.58,149.17,141.94,145.69,93352
2020-06-09,145.23,146.88,139.38,143.13,93787
2020-06-10,144.50,145.42,140.11,142.12,77146
2020-06-11,138.37,138.37,132.15,132.15,105042
2020-06-12,131.78,137.00,130.68,133.98,71425
2020-06-15,130.77,134.89,129.95,133.52,50358
2020-06-16,138.92,139.10,133.15,134.98,62701
2020-06-17,135.44,136.45,132.79,134.43,48993
2020-06-18,133.43,135.17,130.50,131.69,55806
2020-06-19,132.33,133.15,130.50,130.59,85808
2020-06-22,129.49,131.78,128.49,130.68,36788
2020-06-23,131.96,135.81,131.23,133.34,45811
2020-06-24,133.34,135.53,128.94,128.94,50939
2020-06-25,128.49,132.24,127.39,131.41,32948
2020-06-26,132.69,133.43,130.04,130.22,37296
2020-06-29,129.40,132.79,129.13,131.60,32016
2020-06-30,132.79,133.61,129.86,131.14,78862
2020-07-01,131.87,132.60,129.03,130.86,39103
2020-07-02,131.96,135.71,131.78,133.98,42278
2020-07-03,134.25,135.71,132.15,132.88,18565
2020-07-06,136.26,137.82,133.43,134.53,30042
2020-07-07,133.52,134.71,132.33,132.33,65397
2020-07-08,132.24,133.34,131.14,131.78,41270
2020-07-09,132.24,133.61,130.59,131.23,40813
2020-07-10,130.32,134.89,129.95,134.80,52321
2020-07-13,136.36,137.73,132.88,133.34,38362
2020-07-14,132.33,134.07,131.51,133.52,49615
2020-07-15,135.35,138.09,134.98,135.99,51220
2020-07-16,135.07,137.55,134.98,137.27,29739
2020-07-17,138.92,139.56,135.07,135.90,92581
2020-07-20,135.90,136.81,133.24,135.99,43615
2020-07-21,137.18,140.66,137.09,138.19,57673
2020-07-22,138.37,138.55,135.99,137.36,28038
2020-07-23,137.55,141.39,137.55,138.92,47610
2020-07-24,138.46,138.46,136.08,137.27,40067
2020-07-27,137.82,138.46,136.26,136.72,39842
2020-07-28,136.63,137.73,135.35,136.36,30672
2020-07-29,135.35,135.90,132.69,132.88,37411
2020-07-30,132.69,132.69,124.00,126.65,102035
2020-07-31,126.29,128.30,121.44,121.44,91147
2020-08-03,122.63,128.30,122.63,127.02,66592
2020-08-04,128.49,132.42,127.94,131.96,100898
2020-08-05,132.51,133.61,131.78,132.79,46372
2020-08-06,133.24,136.17,132.24,133.15,50133
2020-08-07,132.97,132.97,130.41,131.60,55867
2020-08-10,132.88,133.43,131.05,132.60,33932
2020-08-11,134.89,138.92,134.34,138.28,75239
2020-08-12,138.09,141.11,136.72,140.02,51358
2020-08-13,139.47,140.38,137.45,137.91,33753
2020-08-14,137.27,138.00,135.90,137.82,18991
2020-08-17,137.55,139.19,137.55,138.28,16958
2020-08-18,137.27,139.38,136.72,137.73,26417
2020-08-19,137.64,138.64,136.63,138.64,28549
2020-08-20,136.90,136.90,135.07,135.81,32005
2020-08-21,136.81,137.45,133.52,134.89,27990
2020-08-24,135.44,137.45,134.53,137.18,36876
2020-08-25,137.82,139.10,136.36,137.18,44091
2020-08-26,137.00,139.38,135.53,139.38,37416
2020-08-27,139.56,141.94,138.73,139.83,66484
2020-08-28,140.38,141.48,138.64,139.28,41609
2020-08-31,139.38,141.02,137.45,137.45,49809
2020-09-01,139.19,139.83,134.62,136.17,53442
2020-09-02,136.63,137.73,135.90,136.72,43393
2020-09-03,137.73,140.75,137.09,137.45,88818
2020-09-04,137.09,141.30,136.45,138.37,53652
2020-09-07,140.29,144.50,140.02,143.95,47772
2020-09-08,144.87,145.69,142.76,144.96,49640
2020-09-09,144.23,148.71,143.31,148.16,73409
2020-09-10,148.07,149.53,147.15,147.15,46515
2020-09-11,147.15,148.62,145.32,145.60,48245
2020-09-14,147.89,147.89,143.95,144.41,31653
2020-09-15,144.96,146.33,143.77,143.95,48405
2020-09-16,144.41,145.23,142.49,144.04,33456
2020-09-17,141.11,143.77,140.20,142.76,75525
2020-09-18,142.85,143.40,138.19,138.19,110480
2020-09-21,138.00,138.64,131.32,131.32,70778
2020-09-22,132.69,134.25,131.41,132.69,50301
2020-09-23,133.88,136.36,132.51,132.51,44720
2020-09-24,131.32,135.53,130.86,134.34,75932
2020-09-25,134.98,135.44,130.68,131.87,70233
2020-09-28,134.53,137.73,133.98,137.73,55020
2020-09-29,137.82,138.28,135.90,137.55,56067
2020-09-30,137.55,138.28,136.17,136.54,57800
2020-10-01,138.52,139.09,135.88,136.25,62188
2020-10-02,135.69,137.01,133.23,135.69,80289
2020-10-05,137.11,139.19,136.82,138.81,35847
2020-10-06,139.85,141.36,138.90,139.28,44472
2020-10-07,139.56,140.89,137.67,140.60,32937
2020-10-08,140.98,141.83,138.90,139.00,35855
2020-10-09,139.28,139.85,137.96,138.71,37784
2020-10-12,139.56,141.93,138.52,140.98,61798
2020-10-13,141.17,141.27,138.90,139.19,26974
2020-10-14,139.28,140.89,138.62,139.75,50525
2020-10-15,138.71,138.71,132.76,136.16,79752
2020-10-16,138.43,139.85,136.63,139.09,50582
2020-10-19,138.90,140.42,138.62,139.38,46121
2020-10-20,139.38,140.79,139.09,140.04,42857
2020-10-21,140.89,140.89,137.67,137.77,66360
2020-10-22,137.11,139.09,135.12,138.43,35487
2020-10-23,138.62,140.70,138.52,139.09,45451
2020-10-26,136.44,138.34,135.40,135.50,59287
2020-10-27,135.88,135.88,131.53,131.53,105051
2020-10-28,128.88,129.35,124.62,126.23,142287
2020-10-29,127.93,130.39,126.33,127.65,89878
2020-10-30,126.23,126.99,124.91,126.33,83217
2020-11-02,127.08,131.43,125.48,130.77,62719
2020-11-03,132.47,135.31,132.47,135.21,64519
2020-11-04,132.28,135.40,130.49,133.32,73921
2020-11-05,135.12,137.77,134.36,137.67,54040
2020-11-06,136.82,138.33,135.21,135.97,65988
2020-11-09,139.00,144.76,137.77,142.68,188017
2020-11-10,143.44,149.40,142.68,149.40,132071
2020-11-11,149.30,151.38,148.17,149.02,90606
2020-11-12,147.60,149.21,146.18,148.83,76458
2020-11-13,147.79,150.53,147.51,149.30,72930
2020-11-16,151.10,155.54,150.82,153.18,95580
2020-11-17,153.65,154.79,151.67,152.14,82940
2020-11-18,153.37,154.03,151.10,152.90,48632
2020-11-19,151.86,154.03,151.29,152.90,75129
2020-11-20,152.71,153.94,151.95,153.56,53384
2020-11-23,154.13,155.17,151.67,152.23,62009
2020-11-24,153.75,158.66,152.52,158.48,102091
2020-11-25,159.52,159.61,154.88,155.73,87054
2020-11-26,156.30,156.49,153.27,153.46,40207
2020-11-27,151.48,152.90,149.40,152.14,89897
2020-11-30,151.29,151.29,147.03,147.03,140795
2020-12-01,149.40,153.37,148.83,152.52,98368
2020-12-02,152.33,152.52,149.40,152.23,63691
2020-12-03,152.61,154.03,150.72,151.86,90042
2020-12-04,151.57,153.27,150.25,151.67,59357
2020-12-07,151.29,151.48,148.17,150.53,65739
2020-12-08,149.97,151.01,148.83,150.25,58928
2020-12-09,150.72,153.75,150.44,151.86,72725
2020-12-10,151.67,152.52,147.51,149.21,88064
2020-12-11,149.59,149.68,144.29,145.62,77474
2020-12-14,146.18,149.02,145.99,146.09,72557
2020-12-15,147.98,155.17,147.89,154.50,92807
2020-12-16,156.96,164.15,155.92,159.61,172613
2020-12-17,161.41,161.88,157.72,157.81,109853
2020-12-18,157.44,159.04,155.07,155.07,116935
2020-12-21,151.86,153.37,148.64,152.71,76794
2020-12-22,153.37,155.64,153.37,155.07,77243
2020-12-23,156.58,160.65,156.58,160.46,99772
2020-12-28,163.01,164.05,160.84,161.31,54398
2020-12-29,162.64,162.73,160.27,161.41,57411
2020-12-30,160.93,162.45,159.89,160.84,51274
2021-01-04,162.82,163.01,155.54,157.44,97990
2021-01-05,156.77,159.04,155.36,157.72,61144
2021-01-06,161.12,161.60,156.58,159.23,122952
2021-01-07,160.93,162.73,159.52,161.69,119196
2021-01-08,162.82,163.30,158.00,159.52,90183
2021-01-11,159.04,159.42,156.11,157.53,96677
2021-01-12,158.19,159.42,154.69,156.68,107124
2021-01-13,156.68,159.04,155.54,156.77,86493
2021-01-14,157.06,161.50,156.77,159.89,96631
2021-01-15,158.76,161.50,157.25,158.76,75623
2021-01-18,156.87,159.70,156.58,158.19,53557
2021-01-19,159.61,159.61,156.11,156.96,112363
2021-01-20,158.85,162.82,158.38,162.82,83929
2021-01-21,164.15,165.85,161.60,165.28,96149
2021-01-22,165.85,172.75,161.78,169.73,204126
2021-01-25,171.52,172.56,163.11,163.96,130701
2021-01-26,165.00,168.50,162.26,166.99,73997
2021-01-27,167.65,168.50,164.72,168.03,126538
2021-01-28,166.32,168.40,163.39,166.61,110584
2021-01-29,164.43,166.61,162.16,165.00,94727
2021-02-01,166.23,166.51,163.96,164.34,44202
2021-02-02,166.80,169.16,166.04,168.12,86151
2021-02-03,170.20,172.66,169.25,171.81,92532
2021-02-04,172.47,173.60,170.01,170.67,68919
2021-02-05,171.90,172.28,169.73,171.62,70655
2021-02-08,172.56,174.17,170.58,173.89,65202
2021-02-09,173.60,173.89,170.77,172.09,46943
2021-02-10,173.51,173.60,169.82,171.24,66150
2021-02-11,172.94,173.32,171.15,172.38,51344
2021-02-12,171.62,172.28,169.92,171.15,59073
2021-02-15,173.04,173.60,170.86,171.71,44888
2021-02-16,172.56,173.04,171.43,172.38,55007
2021-02-17,172.09,173.13,171.05,172.19,75978
2021-02-18,172.47,178.14,170.58,177.39,172461
2021-02-19,178.71,181.26,178.05,178.80,154439
2021-02-22,178.43,181.55,177.67,181.26,86829
2021-02-23,182.21,183.06,179.56,181.64,119067
2021-02-24,182.02,185.05,181.55,184.48,101610
2021-02-25,186.09,186.18,181.45,181.45,123233
2021-02-26,179.47,184.38,177.86,183.15,134240
2021-03-01,185.14,186.75,182.87,184.38,72284
2021-03-02,184.67,187.79,184.38,187.13,96913
2021-03-03,191.57,197.62,190.44,197.05,178554
2021-03-04,197.62,204.43,195.92,203.11,208648
2021-03-05,204.43,206.32,200.27,202.54,174689
2021-03-08,207.08,210.48,203.86,210.10,149995
2021-03-09,211.05,211.24,205.37,208.21,155609
2021-03-10,208.59,232.99,207.08,230.91,285243
2021-03-11,228.26,233.74,214.45,218.23,393900
2021-03-12,218.23,218.80,215.21,218.23,102521
2021-03-15,218.80,229.77,218.61,225.99,176296
2021-03-16,233.17,292.56,230.72,252.09,957582
2021-03-17,255.49,293.12,255.49,291.99,675293
2021-03-18,325.84,337.94,299.93,309.39,1020811
2021-03-19,287.26,290.48,257.38,265.32,749338
2021-03-22,271.37,308.06,270.62,304.28,510448
2021-03-23,304.47,305.41,281.97,292.56,374808
2021-03-24,288.58,289.91,268.35,269.67,296502
2021-03-25,267.40,269.11,257.76,265.13,296326
2021-03-26,269.29,273.64,261.92,266.27,162940
2021-03-29,268.35,271.75,262.86,270.43,103381
2021-03-30,274.78,298.61,273.08,298.23,239583
2021-03-31,295.01,297.66,285.37,292.37,239342
2021-04-01,293.50,296.15,283.10,289.91,155852
2021-04-06,293.12,299.17,291.42,296.53,144245
2021-04-07,296.90,300.69,288.58,288.96,89871
2021-04-08,292.18,294.45,281.02,284.80,97333
2021-04-09,284.99,284.99,279.13,281.78,87704
2021-04-12,281.78,284.42,277.80,280.26,71356
2021-04-13,277.80,280.45,270.05,272.32,130256
2021-04-14,271.37,274.02,262.49,265.70,125991
2021-04-15,266.65,273.64,266.08,270.05,74209
2021-04-16,272.13,281.21,270.24,279.51,91803
2021-04-19,283.29,283.29,273.46,274.97,96968
2021-04-20,275.16,279.51,267.78,270.05,60953
2021-04-21,270.43,272.89,259.08,268.54,95536
2021-04-22,269.48,271.19,264.00,266.84,71687
2021-04-23,264.76,269.86,262.30,268.16,79265
2021-04-26,267.59,268.16,259.08,262.68,65777
2021-04-27,262.68,264.19,255.68,263.05,86480
2021-04-28,263.81,264.57,258.70,259.65,42518
2021-04-29,260.03,261.16,249.63,252.46,127397
2021-04-30,250.57,253.60,245.66,249.82,95158
2021-05-03,248.30,254.92,247.55,251.14,55202
2021-05-04,250.57,254.17,241.87,242.63,91323
2021-05-05,244.90,250.01,243.39,249.63,82945
2021-05-06,255.11,258.33,244.14,247.55,147007
2021-05-07,250.95,251.33,244.14,247.17,90219
2021-05-10,250.01,252.27,247.93,251.33,57203
2021-05-11,248.68,251.33,242.44,243.95,81894
2021-05-12,243.95,245.28,240.74,243.01,59528
2021-05-13,241.12,247.17,234.12,243.95,79902
2021-05-14,245.09,253.22,244.33,250.76,69658
2021-05-17,253.41,255.68,250.01,254.17,64604
2021-05-18,257.95,261.54,251.14,252.84,82084
2021-05-19,251.33,253.79,246.98,251.71,72222
2021-05-20,255.68,256.62,251.14,256.06,63978
2021-05-21,257.19,259.46,256.06,257.76,50295
2021-05-25,260.41,265.89,259.65,261.54,93542
2021-05-26,263.05,266.27,260.03,265.13,54119
2021-05-27,264.95,270.43,260.97,270.43,195964
2021-05-28,272.51,283.86,271.37,283.67,169332
2021-05-31,283.10,283.10,274.78,275.72,68294
2021-06-01,279.88,284.23,277.24,282.72,101264
2021-06-02,286.88,295.01,283.29,293.31,91185
